#,Taxonomy,Class,Template Name,File Folder,Filename,Image,Tag,Mask,Resolution,Top,Left,Width,Height,Points,Text Annotation,Minimal Top,Minimal Left,Minimal Width,Minimal Height,Attributes
152,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"ryct.2020200028.fig1a.jpeg",images/7caba986589412168da22e047a9a6806a0ac684a.jpg,tags/7caba986589412168da22e047a9a6806a0ac684a_ZFnuQDkKeNrcjdpTM.png,masks/7caba986589412168da22e047a9a6806a0ac684a_ZFnuQDkKeNrcjdpTM.png,3342x4095,1974,187,1108,1424,,"undefined",1974,187,1108,1424,
153,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"ryct.2020200028.fig1a.jpeg",images/7caba986589412168da22e047a9a6806a0ac684a.jpg,tags/7caba986589412168da22e047a9a6806a0ac684a_Zu5DNJAaTtwiCDXHy.png,masks/7caba986589412168da22e047a9a6806a0ac684a_Zu5DNJAaTtwiCDXHy.png,3342x4095,146,1869,1387,3699,,"undefined",146,1869,1387,3699,
154,,"COVID-19 Right Lung","Right Lung",,"ryct.2020200028.fig1a.jpeg",images/7caba986589412168da22e047a9a6806a0ac684a.jpg,tags/7caba986589412168da22e047a9a6806a0ac684a_NhfvTbfbwCvM4Hhkn.png,masks/7caba986589412168da22e047a9a6806a0ac684a_NhfvTbfbwCvM4Hhkn.png,3342x4095,252,157,1432,3566,,"undefined",252,157,1432,3566,
155,,"COVID-19 Airways","Airways",,"nejmoa2001191_f1-PA.jpeg",images/c592f7cd08c95adb71ba3105b36703d202e3cd47.jpg,tags/c592f7cd08c95adb71ba3105b36703d202e3cd47_Tk2f4GfX9HKynQkHZ.png,masks/c592f7cd08c95adb71ba3105b36703d202e3cd47_Tk2f4GfX9HKynQkHZ.png,1090x842,0,468,124,378,,"undefined",0,468,124,378,
156,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"nejmoa2001191_f1-PA.jpeg",images/c592f7cd08c95adb71ba3105b36703d202e3cd47.jpg,tags/c592f7cd08c95adb71ba3105b36703d202e3cd47_HKY7c4TnTTBp9Sigt.png,masks/c592f7cd08c95adb71ba3105b36703d202e3cd47_HKY7c4TnTTBp9Sigt.png,1090x842,232,395,388,462,,"undefined",232,395,388,462,
157,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"nejmoa2001191_f1-PA.jpeg",images/c592f7cd08c95adb71ba3105b36703d202e3cd47.jpg,tags/c592f7cd08c95adb71ba3105b36703d202e3cd47_5qFL8o9aqX6DWMPLJ.png,masks/c592f7cd08c95adb71ba3105b36703d202e3cd47_5qFL8o9aqX6DWMPLJ.png,1090x842,0,1086,4,3,,"undefined",0,1086,4,3,
158,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"nejmoa2001191_f1-PA.jpeg",images/c592f7cd08c95adb71ba3105b36703d202e3cd47.jpg,tags/c592f7cd08c95adb71ba3105b36703d202e3cd47_gED2krASZPJrzDtWo.png,masks/c592f7cd08c95adb71ba3105b36703d202e3cd47_gED2krASZPJrzDtWo.png,1090x842,42,565,420,750,,"undefined",42,565,420,750,
159,,"COVID-19 Right Lung","Right Lung",,"nejmoa2001191_f1-PA.jpeg",images/c592f7cd08c95adb71ba3105b36703d202e3cd47.jpg,tags/c592f7cd08c95adb71ba3105b36703d202e3cd47_W8WiPWhRQgapTvhQN.png,masks/c592f7cd08c95adb71ba3105b36703d202e3cd47_W8WiPWhRQgapTvhQN.png,1090x842,43,70,440,754,,"undefined",43,70,440,754,
160,,"COVID-19 Airways","Airways",,"right-upper-lobe-pneumonia-9-PA.jpg",images/1411710d7ec34d3efcb0c277850b21f02842f90d.jpg,tags/1411710d7ec34d3efcb0c277850b21f02842f90d_gPERrL6i4JpLBCJh7.png,masks/1411710d7ec34d3efcb0c277850b21f02842f90d_gPERrL6i4JpLBCJh7.png,2834x3056,0,1184,363,1259,,"undefined",0,1184,363,1259,
161,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"right-upper-lobe-pneumonia-9-PA.jpg",images/1411710d7ec34d3efcb0c277850b21f02842f90d.jpg,tags/1411710d7ec34d3efcb0c277850b21f02842f90d_bQfJzRyPS4LK9Ys6L.png,masks/1411710d7ec34d3efcb0c277850b21f02842f90d_bQfJzRyPS4LK9Ys6L.png,2834x3056,682,1097,1032,1597,,"undefined",682,1097,1032,1597,
162,,"COVID-19 Consolidation","Consolidation",,"right-upper-lobe-pneumonia-9-PA.jpg",images/1411710d7ec34d3efcb0c277850b21f02842f90d.jpg,tags/1411710d7ec34d3efcb0c277850b21f02842f90d_fWQsWHExGAfGYYSaw.png,masks/1411710d7ec34d3efcb0c277850b21f02842f90d_fWQsWHExGAfGYYSaw.png,2834x3056,754,258,542,707,,"undefined",754,258,542,707,
163,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"right-upper-lobe-pneumonia-9-PA.jpg",images/1411710d7ec34d3efcb0c277850b21f02842f90d.jpg,tags/1411710d7ec34d3efcb0c277850b21f02842f90d_Kn22hvMZZBpHQ8KP8.png,masks/1411710d7ec34d3efcb0c277850b21f02842f90d_Kn22hvMZZBpHQ8KP8.png,2834x3056,677,449,673,1450,,"undefined",677,449,673,1450,
164,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"right-upper-lobe-pneumonia-9-PA.jpg",images/1411710d7ec34d3efcb0c277850b21f02842f90d.jpg,tags/1411710d7ec34d3efcb0c277850b21f02842f90d_ZFasw4t7eoxhHnnS8.png,masks/1411710d7ec34d3efcb0c277850b21f02842f90d_ZFasw4t7eoxhHnnS8.png,2834x3056,215,1497,1171,2159,,"undefined",215,1497,1171,2159,
165,,"COVID-19 Right Lung","Right Lung",,"right-upper-lobe-pneumonia-9-PA.jpg",images/1411710d7ec34d3efcb0c277850b21f02842f90d.jpg,tags/1411710d7ec34d3efcb0c277850b21f02842f90d_hYZX7SZj2sLBywQaa.png,masks/1411710d7ec34d3efcb0c277850b21f02842f90d_hYZX7SZj2sLBywQaa.png,2834x3056,204,75,1197,2296,,"undefined",204,75,1197,2296,
166,,"COVID-19 Airways","Airways",,"nCoV-radiol.2020200269.fig1-day7.jpeg",images/d9f6f249fb97b4dcddc65245bceb6e1172ea2ea6.jpg,tags/d9f6f249fb97b4dcddc65245bceb6e1172ea2ea6_aLWMsfRJXQx5T49XX.png,masks/d9f6f249fb97b4dcddc65245bceb6e1172ea2ea6_aLWMsfRJXQx5T49XX.png,700x630,0,290,126,310,,"undefined",0,290,126,310,
167,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"nCoV-radiol.2020200269.fig1-day7.jpeg",images/d9f6f249fb97b4dcddc65245bceb6e1172ea2ea6.jpg,tags/d9f6f249fb97b4dcddc65245bceb6e1172ea2ea6_hX4s6cQFpndXLfLGd.png,masks/d9f6f249fb97b4dcddc65245bceb6e1172ea2ea6_hX4s6cQFpndXLfLGd.png,700x630,151,263,280,359,,"undefined",151,263,280,359,
168,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"nCoV-radiol.2020200269.fig1-day7.jpeg",images/d9f6f249fb97b4dcddc65245bceb6e1172ea2ea6.jpg,tags/d9f6f249fb97b4dcddc65245bceb6e1172ea2ea6_CAoarseqjWgWD8RY4.png,masks/d9f6f249fb97b4dcddc65245bceb6e1172ea2ea6_CAoarseqjWgWD8RY4.png,700x630,313,471,162,168,,"undefined",313,471,162,168,
169,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"nCoV-radiol.2020200269.fig1-day7.jpeg",images/d9f6f249fb97b4dcddc65245bceb6e1172ea2ea6.jpg,tags/d9f6f249fb97b4dcddc65245bceb6e1172ea2ea6_t2is9e3wedNRkvCpi.png,masks/d9f6f249fb97b4dcddc65245bceb6e1172ea2ea6_t2is9e3wedNRkvCpi.png,700x630,46,367,288,468,,"undefined",46,367,288,468,
170,,"COVID-19 Right Lung","Right Lung",,"nCoV-radiol.2020200269.fig1-day7.jpeg",images/d9f6f249fb97b4dcddc65245bceb6e1172ea2ea6.jpg,tags/d9f6f249fb97b4dcddc65245bceb6e1172ea2ea6_m7fDgsWjueYe3xccu.png,masks/d9f6f249fb97b4dcddc65245bceb6e1172ea2ea6_m7fDgsWjueYe3xccu.png,700x630,60,48,266,443,,"undefined",60,48,266,443,
171,,"COVID-19 Airways","Airways",,"nejmc2001573_f1a.jpeg",images/5850834043b59f3ee7860a4fad367e069ad34108.jpg,tags/5850834043b59f3ee7860a4fad367e069ad34108_XYhPy9gyip87dE5Jt.png,masks/5850834043b59f3ee7860a4fad367e069ad34108_XYhPy9gyip87dE5Jt.png,1645x1272,0,720,285,566,,"undefined",0,720,285,566,
172,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"nejmc2001573_f1a.jpeg",images/5850834043b59f3ee7860a4fad367e069ad34108.jpg,tags/5850834043b59f3ee7860a4fad367e069ad34108_mwZc2whsDjJv9MeSy.png,masks/5850834043b59f3ee7860a4fad367e069ad34108_mwZc2whsDjJv9MeSy.png,1645x1272,281,634,719,679,,"undefined",281,634,719,679,
173,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"nejmc2001573_f1a.jpeg",images/5850834043b59f3ee7860a4fad367e069ad34108.jpg,tags/5850834043b59f3ee7860a4fad367e069ad34108_oqbw4ovGpBDceHeck.png,masks/5850834043b59f3ee7860a4fad367e069ad34108_oqbw4ovGpBDceHeck.png,1645x1272,519,373,314,308,,"undefined",519,373,314,308,
174,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"nejmc2001573_f1a.jpeg",images/5850834043b59f3ee7860a4fad367e069ad34108.jpg,tags/5850834043b59f3ee7860a4fad367e069ad34108_jx6KNhEYbJfqzgwte.png,masks/5850834043b59f3ee7860a4fad367e069ad34108_jx6KNhEYbJfqzgwte.png,1645x1272,100,904,515,907,,"undefined",100,904,515,907,
175,,"COVID-19 Right Lung","Right Lung",,"nejmc2001573_f1a.jpeg",images/5850834043b59f3ee7860a4fad367e069ad34108.jpg,tags/5850834043b59f3ee7860a4fad367e069ad34108_G5CvT3bLXEJaHwqq7.png,masks/5850834043b59f3ee7860a4fad367e069ad34108_G5CvT3bLXEJaHwqq7.png,1645x1272,104,217,560,735,,"undefined",104,217,560,735,
176,,"COVID-19 Airways","Airways",,"nejmoa2001191_f4.jpeg",images/5e9df42dbd045d5cc1707e07defc81b47ea6424c.jpg,tags/5e9df42dbd045d5cc1707e07defc81b47ea6424c_5Dqt2fw3FuvrpXxCs.png,masks/5e9df42dbd045d5cc1707e07defc81b47ea6424c_5Dqt2fw3FuvrpXxCs.png,1800x1439,0,746,255,648,,"undefined",0,746,255,648,
177,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"nejmoa2001191_f4.jpeg",images/5e9df42dbd045d5cc1707e07defc81b47ea6424c.jpg,tags/5e9df42dbd045d5cc1707e07defc81b47ea6424c_iRFYKnDbXHgxZL65E.png,masks/5e9df42dbd045d5cc1707e07defc81b47ea6424c_iRFYKnDbXHgxZL65E.png,1800x1439,367,666,663,695,,"undefined",367,666,663,695,
178,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"nejmoa2001191_f4.jpeg",images/5e9df42dbd045d5cc1707e07defc81b47ea6424c.jpg,tags/5e9df42dbd045d5cc1707e07defc81b47ea6424c_56uXRSCkzTnmH3wC3.png,masks/5e9df42dbd045d5cc1707e07defc81b47ea6424c_56uXRSCkzTnmH3wC3.png,1800x1439,675,1140,343,271,,"undefined",675,1140,343,271,
179,,"COVID-19 Monitoring Probes","Monitoring Probes",,"nejmoa2001191_f4.jpeg",images/5e9df42dbd045d5cc1707e07defc81b47ea6424c.jpg,tags/5e9df42dbd045d5cc1707e07defc81b47ea6424c_hGBZvLn78yv6zeThW.png,masks/5e9df42dbd045d5cc1707e07defc81b47ea6424c_hGBZvLn78yv6zeThW.png,1800x1439,100,147,1268,1339,,"undefined",100,147,1268,1339,
180,,"COVID-19 Right Lung","Right Lung",,"nejmoa2001191_f4.jpeg",images/5e9df42dbd045d5cc1707e07defc81b47ea6424c.jpg,tags/5e9df42dbd045d5cc1707e07defc81b47ea6424c_CQYuT3ymxTayJFwDa.png,masks/5e9df42dbd045d5cc1707e07defc81b47ea6424c_CQYuT3ymxTayJFwDa.png,1800x1439,84,133,708,1116,,"undefined",84,133,708,1116,
181,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"nejmoa2001191_f4.jpeg",images/5e9df42dbd045d5cc1707e07defc81b47ea6424c.jpg,tags/5e9df42dbd045d5cc1707e07defc81b47ea6424c_iFyBwCdCBJS4Tfojq.png,masks/5e9df42dbd045d5cc1707e07defc81b47ea6424c_iFyBwCdCBJS4Tfojq.png,1800x1439,75,946,673,1074,,"undefined",75,946,673,1074,
182,,"COVID-19 Airways","Airways",,"nejmoa2001191_f3-PA.jpeg",images/61d3af0f104bd4348da54fdb8e08f7760ed98a62.jpg,tags/61d3af0f104bd4348da54fdb8e08f7760ed98a62_v9dE7YwAcpk3d7y7Y.png,masks/61d3af0f104bd4348da54fdb8e08f7760ed98a62_v9dE7YwAcpk3d7y7Y.png,1104x874,0,457,184,463,,"undefined",0,457,184,463,
183,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"nejmoa2001191_f3-PA.jpeg",images/61d3af0f104bd4348da54fdb8e08f7760ed98a62.jpg,tags/61d3af0f104bd4348da54fdb8e08f7760ed98a62_ZSXjD4Lj9zqzoBud4.png,masks/61d3af0f104bd4348da54fdb8e08f7760ed98a62_ZSXjD4Lj9zqzoBud4.png,1104x874,271,411,412,474,,"undefined",271,411,412,474,
184,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"nejmoa2001191_f3-PA.jpeg",images/61d3af0f104bd4348da54fdb8e08f7760ed98a62.jpg,tags/61d3af0f104bd4348da54fdb8e08f7760ed98a62_K7C669LezyCpjxDna.png,masks/61d3af0f104bd4348da54fdb8e08f7760ed98a62_K7C669LezyCpjxDna.png,1104x874,511,283,635,177,,"undefined",511,283,635,177,
185,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"nejmoa2001191_f3-PA.jpeg",images/61d3af0f104bd4348da54fdb8e08f7760ed98a62.jpg,tags/61d3af0f104bd4348da54fdb8e08f7760ed98a62_azgzJpNzzpquoWQAw.png,masks/61d3af0f104bd4348da54fdb8e08f7760ed98a62_azgzJpNzzpquoWQAw.png,1104x874,69,564,431,733,,"undefined",69,564,431,733,
186,,"COVID-19 Right Lung","Right Lung",,"nejmoa2001191_f3-PA.jpeg",images/61d3af0f104bd4348da54fdb8e08f7760ed98a62.jpg,tags/61d3af0f104bd4348da54fdb8e08f7760ed98a62_aCmXpmKs9WCZsd8ER.png,masks/61d3af0f104bd4348da54fdb8e08f7760ed98a62_aCmXpmKs9WCZsd8ER.png,1104x874,102,72,431,719,,"undefined",102,72,431,719,
187,,"COVID-19 Monitoring Probes","Monitoring Probes",,"nejmoa2001191_f3-PA.jpeg",images/61d3af0f104bd4348da54fdb8e08f7760ed98a62.jpg,tags/61d3af0f104bd4348da54fdb8e08f7760ed98a62_idhNtEGrQavzQbDWs.png,masks/61d3af0f104bd4348da54fdb8e08f7760ed98a62_idhNtEGrQavzQbDWs.png,1104x874,222,0,916,652,,"undefined",222,0,916,652,
188,,"COVID-19 Airways","Airways",,"nejmc2001573_f1b.jpeg",images/158a5220497abb3ed2d07a2d44602eb48ddae259.jpg,tags/158a5220497abb3ed2d07a2d44602eb48ddae259_Fnn9CwKmW7uaLSXYQ.png,masks/158a5220497abb3ed2d07a2d44602eb48ddae259_Fnn9CwKmW7uaLSXYQ.png,1652x1308,0,705,272,631,,"undefined",0,705,272,631,
189,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"nejmc2001573_f1b.jpeg",images/158a5220497abb3ed2d07a2d44602eb48ddae259.jpg,tags/158a5220497abb3ed2d07a2d44602eb48ddae259_DoBFkkAG2h9AwsK3q.png,masks/158a5220497abb3ed2d07a2d44602eb48ddae259_DoBFkkAG2h9AwsK3q.png,1652x1308,332,607,786,816,,"undefined",332,607,786,816,
190,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"nejmc2001573_f1b.jpeg",images/158a5220497abb3ed2d07a2d44602eb48ddae259.jpg,tags/158a5220497abb3ed2d07a2d44602eb48ddae259_jJZJ9wgTZCW2brWDP.png,masks/158a5220497abb3ed2d07a2d44602eb48ddae259_jJZJ9wgTZCW2brWDP.png,1652x1308,764,384,225,138,,"undefined",764,384,225,138,
191,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"nejmc2001573_f1b.jpeg",images/158a5220497abb3ed2d07a2d44602eb48ddae259.jpg,tags/158a5220497abb3ed2d07a2d44602eb48ddae259_exZCCPbgWkPgmRWso.png,masks/158a5220497abb3ed2d07a2d44602eb48ddae259_exZCCPbgWkPgmRWso.png,1652x1308,146,874,622,991,,"undefined",146,874,622,991,
192,,"COVID-19 Right Lung","Right Lung",,"nejmc2001573_f1b.jpeg",images/158a5220497abb3ed2d07a2d44602eb48ddae259.jpg,tags/158a5220497abb3ed2d07a2d44602eb48ddae259_uKPtw6bFkN2XZDg9T.png,masks/158a5220497abb3ed2d07a2d44602eb48ddae259_uKPtw6bFkN2XZDg9T.png,1652x1308,164,156,600,877,,"undefined",164,156,600,877,
193,,"COVID-19 Airways","Airways",,"pneumococcal-pneumonia-day0.jpg",images/c9bfe22bddf27f95706aa9c31810a27d346dbb01.jpg,tags/c9bfe22bddf27f95706aa9c31810a27d346dbb01_Ma5woy5EqWyy6rHYR.png,masks/c9bfe22bddf27f95706aa9c31810a27d346dbb01_Ma5woy5EqWyy6rHYR.png,2828x2320,0,1312,366,1171,,"undefined",0,1312,366,1171,
194,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"pneumococcal-pneumonia-day0.jpg",images/c9bfe22bddf27f95706aa9c31810a27d346dbb01.jpg,tags/c9bfe22bddf27f95706aa9c31810a27d346dbb01_WEbCkGTBBqJhtHem5.png,masks/c9bfe22bddf27f95706aa9c31810a27d346dbb01_WEbCkGTBBqJhtHem5.png,2828x2320,754,1300,1017,1031,,"undefined",754,1300,1017,1031,
195,,"COVID-19 Consolidation","Consolidation",,"pneumococcal-pneumonia-day0.jpg",images/c9bfe22bddf27f95706aa9c31810a27d346dbb01.jpg,tags/c9bfe22bddf27f95706aa9c31810a27d346dbb01_cNRY4xhkCkD9iR97R.png,masks/c9bfe22bddf27f95706aa9c31810a27d346dbb01_cNRY4xhkCkD9iR97R.png,2828x2320,566,575,804,818,,"undefined",566,575,804,818,
196,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"pneumococcal-pneumonia-day0.jpg",images/c9bfe22bddf27f95706aa9c31810a27d346dbb01.jpg,tags/c9bfe22bddf27f95706aa9c31810a27d346dbb01_dSditv8oQrSsk7jSW.png,masks/c9bfe22bddf27f95706aa9c31810a27d346dbb01_dSditv8oQrSsk7jSW.png,2828x2320,499,487,879,1244,,"undefined",499,487,879,1244,
197,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"pneumococcal-pneumonia-day0.jpg",images/c9bfe22bddf27f95706aa9c31810a27d346dbb01.jpg,tags/c9bfe22bddf27f95706aa9c31810a27d346dbb01_bsh7HBqCDojGs4AH9.png,masks/c9bfe22bddf27f95706aa9c31810a27d346dbb01_bsh7HBqCDojGs4AH9.png,2828x2320,254,1562,985,1566,,"undefined",254,1562,985,1566,
198,,"COVID-19 Right Lung","Right Lung",,"pneumococcal-pneumonia-day0.jpg",images/c9bfe22bddf27f95706aa9c31810a27d346dbb01.jpg,tags/c9bfe22bddf27f95706aa9c31810a27d346dbb01_a7CGCy9Nqvo4K9TNN.png,masks/c9bfe22bddf27f95706aa9c31810a27d346dbb01_a7CGCy9Nqvo4K9TNN.png,2828x2320,324,489,898,1463,,"undefined",324,489,898,1463,
199,,"COVID-19 Airways","Airways",,"legionella-pneumonia-2.jpg",images/57c08ae864805aefe58e71cc331c4eb92e089f02.jpg,tags/57c08ae864805aefe58e71cc331c4eb92e089f02_QpcZ3Cf9kMptkimwM.png,masks/57c08ae864805aefe58e71cc331c4eb92e089f02_QpcZ3Cf9kMptkimwM.png,1480x1434,0,621,230,641,,"undefined",0,621,230,641,
200,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"legionella-pneumonia-2.jpg",images/57c08ae864805aefe58e71cc331c4eb92e089f02.jpg,tags/57c08ae864805aefe58e71cc331c4eb92e089f02_oixd6PrgiSGGNiLyP.png,masks/57c08ae864805aefe58e71cc331c4eb92e089f02_oixd6PrgiSGGNiLyP.png,1480x1434,362,552,681,753,,"undefined",362,552,681,753,
201,,"COVID-19 Consolidation","Consolidation",,"legionella-pneumonia-2.jpg",images/57c08ae864805aefe58e71cc331c4eb92e089f02.jpg,tags/57c08ae864805aefe58e71cc331c4eb92e089f02_xpcTqf5fiakwC53Tn.png,masks/57c08ae864805aefe58e71cc331c4eb92e089f02_xpcTqf5fiakwC53Tn.png,1480x1434,226,100,1275,1017,,"undefined",226,100,1275,1017,
202,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"legionella-pneumonia-2.jpg",images/57c08ae864805aefe58e71cc331c4eb92e089f02.jpg,tags/57c08ae864805aefe58e71cc331c4eb92e089f02_wC7MJs5WPhk9HpvPZ.png,masks/57c08ae864805aefe58e71cc331c4eb92e089f02_wC7MJs5WPhk9HpvPZ.png,1480x1434,161,248,1131,1031,,"undefined",161,248,1131,1031,
203,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"legionella-pneumonia-2.jpg",images/57c08ae864805aefe58e71cc331c4eb92e089f02.jpg,tags/57c08ae864805aefe58e71cc331c4eb92e089f02_bNi2xxfanyPgMMbCv.png,masks/57c08ae864805aefe58e71cc331c4eb92e089f02_bNi2xxfanyPgMMbCv.png,1480x1434,96,765,642,1176,,"undefined",96,765,642,1176,
204,,"COVID-19 Nosogastric Tube","Nosogastric Tube",,"legionella-pneumonia-2.jpg",images/57c08ae864805aefe58e71cc331c4eb92e089f02.jpg,tags/57c08ae864805aefe58e71cc331c4eb92e089f02_6AEmrWDWyXkPn2c9A.png,masks/57c08ae864805aefe58e71cc331c4eb92e089f02_6AEmrWDWyXkPn2c9A.png,1480x1434,0,698,391,1434,,"undefined",0,698,391,1434,
205,,"COVID-19 Right Lung","Right Lung",,"legionella-pneumonia-2.jpg",images/57c08ae864805aefe58e71cc331c4eb92e089f02.jpg,tags/57c08ae864805aefe58e71cc331c4eb92e089f02_NYduPodKt9xvZEpSa.png,masks/57c08ae864805aefe58e71cc331c4eb92e089f02_NYduPodKt9xvZEpSa.png,1480x1434,77,89,600,1148,,"undefined",77,89,600,1148,
206,,"COVID-19 Tubings","Tubings",,"legionella-pneumonia-2.jpg",images/57c08ae864805aefe58e71cc331c4eb92e089f02.jpg,tags/57c08ae864805aefe58e71cc331c4eb92e089f02_gzuEfMqxa7bAYhpxH.png,masks/57c08ae864805aefe58e71cc331c4eb92e089f02_gzuEfMqxa7bAYhpxH.png,1480x1434,0,15,1452,1434,,"undefined",0,15,1452,1434,
207,,"COVID-19 Airways","Airways",,"nejmoa2001191_f5-PA.jpeg",images/9c79f2a81c7391443f97867b044665e0787c910d.jpg,tags/9c79f2a81c7391443f97867b044665e0787c910d_vup2XXR99tkHgQp6y.png,masks/9c79f2a81c7391443f97867b044665e0787c910d_vup2XXR99tkHgQp6y.png,1107x841,0,453,177,419,,"undefined",0,453,177,419,
208,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"nejmoa2001191_f5-PA.jpeg",images/9c79f2a81c7391443f97867b044665e0787c910d.jpg,tags/9c79f2a81c7391443f97867b044665e0787c910d_kvoptTECYg5y9vQkm.png,masks/9c79f2a81c7391443f97867b044665e0787c910d_kvoptTECYg5y9vQkm.png,1107x841,234,398,416,453,,"undefined",234,398,416,453,
209,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"nejmoa2001191_f5-PA.jpeg",images/9c79f2a81c7391443f97867b044665e0787c910d.jpg,tags/9c79f2a81c7391443f97867b044665e0787c910d_anvLyNmbW7j7pwTkz.png,masks/9c79f2a81c7391443f97867b044665e0787c910d_anvLyNmbW7j7pwTkz.png,1107x841,447,182,203,145,,"undefined",447,182,203,145,
210,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"nejmoa2001191_f5-PA.jpeg",images/9c79f2a81c7391443f97867b044665e0787c910d.jpg,tags/9c79f2a81c7391443f97867b044665e0787c910d_W6xZhrnkd8kC2MJWs.png,masks/9c79f2a81c7391443f97867b044665e0787c910d_W6xZhrnkd8kC2MJWs.png,1107x841,26,569,411,679,,"undefined",26,569,411,679,
211,,"COVID-19 Right Lung","Right Lung",,"nejmoa2001191_f5-PA.jpeg",images/9c79f2a81c7391443f97867b044665e0787c910d.jpg,tags/9c79f2a81c7391443f97867b044665e0787c910d_bM8mYE6MnEZMmF7ec.png,masks/9c79f2a81c7391443f97867b044665e0787c910d_bM8mYE6MnEZMmF7ec.png,1107x841,40,73,425,722,,"undefined",40,73,425,722,
212,,"COVID-19 Airways","Airways",,"legionella-pneumonia-1.png",images/cfad3e59862041bf040dbee7422e575c04b82fdf.png,tags/cfad3e59862041bf040dbee7422e575c04b82fdf_778WZRPSC9oEKKLb8.png,masks/cfad3e59862041bf040dbee7422e575c04b82fdf_778WZRPSC9oEKKLb8.png,895x804,0,404,198,427,,"undefined",0,404,198,427,
213,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"legionella-pneumonia-1.png",images/cfad3e59862041bf040dbee7422e575c04b82fdf.png,tags/cfad3e59862041bf040dbee7422e575c04b82fdf_krhw9WcJ62zavB5ys.png,masks/cfad3e59862041bf040dbee7422e575c04b82fdf_krhw9WcJ62zavB5ys.png,895x804,237,355,412,425,,"undefined",237,355,412,425,
214,,"COVID-19 Central Venous Line","Central Venous Line",,"legionella-pneumonia-1.png",images/cfad3e59862041bf040dbee7422e575c04b82fdf.png,tags/cfad3e59862041bf040dbee7422e575c04b82fdf_sYvsoHpoYJ6zSwEkb.png,masks/cfad3e59862041bf040dbee7422e575c04b82fdf_sYvsoHpoYJ6zSwEkb.png,895x804,74,136,278,460,,"undefined",74,136,278,460,
215,,"COVID-19 Consolidation","Consolidation",,"legionella-pneumonia-1.png",images/cfad3e59862041bf040dbee7422e575c04b82fdf.png,tags/cfad3e59862041bf040dbee7422e575c04b82fdf_e4px9g6MMZ53MMFGK.png,masks/cfad3e59862041bf040dbee7422e575c04b82fdf_e4px9g6MMZ53MMFGK.png,895x804,368,627,210,256,,"undefined",368,627,210,256,
216,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"legionella-pneumonia-1.png",images/cfad3e59862041bf040dbee7422e575c04b82fdf.png,tags/cfad3e59862041bf040dbee7422e575c04b82fdf_MqupFdS3DXLBsKRQ3.png,masks/cfad3e59862041bf040dbee7422e575c04b82fdf_MqupFdS3DXLBsKRQ3.png,895x804,276,228,591,261,,"undefined",276,228,591,261,
217,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"legionella-pneumonia-1.png",images/cfad3e59862041bf040dbee7422e575c04b82fdf.png,tags/cfad3e59862041bf040dbee7422e575c04b82fdf_uxaEwhQfAHGN6Mgvh.png,masks/cfad3e59862041bf040dbee7422e575c04b82fdf_uxaEwhQfAHGN6Mgvh.png,895x804,83,513,325,539,,"undefined",83,513,325,539,
218,,"COVID-19 Monitoring Probes","Monitoring Probes",,"legionella-pneumonia-1.png",images/cfad3e59862041bf040dbee7422e575c04b82fdf.png,tags/cfad3e59862041bf040dbee7422e575c04b82fdf_3He6qC3FkYBKS5oaP.png,masks/cfad3e59862041bf040dbee7422e575c04b82fdf_3He6qC3FkYBKS5oaP.png,895x804,145,50,762,659,,"undefined",145,50,762,659,
